alterimagetext,date,description,domainname,imagepath,label,link,tags,title
A New Age of Hacktivism ,"Feb 22, 2024"," In the past 2 years, we have observed a significant surge in hacktivism activity due to ongoing wars and geopolitical conflicts in various regions. Since the war against Ukraine began, we have witnessed a notable mobilization of non-state and state-backed actors alike, forming new groups or joining existing hacker collectives.  We understand hacktivism as a form of computer hacking that is done to further the goals of political or social  activism 1 . While  activism  describes a normal, non-disruptive use of the Internet in order to support a specific cause (online petitions, fundraising, coordinating activities),  hacktivism  includes operations that use hacking techniques with the intent to disrupt but not to cause serious harm (e.g., data theft, website defacements, redirects, Denial-of-Service attacks). Cyber operations that inherit a willingness or intent to cause harm to physical property, severe economic damage or loss of life would be referred to as  cyberterrorism, 2, 3  Th",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgvM6leDiN9C7Vzl8g3r5ahQE5SlKI3HfsTObBmzY3AHGWocEbTJg2x3k4TeSQywH5roGmZZ2AOQ07BeLzAfMhCHFO46Zil45v9EbWE5aCeTGPvHJABiDHEI0Brw99k_WbiatBH-3g3Uz0ZpLu-xc1hMcDhT618kmbPWIRFmpbs7RIvCgqSiAj7KA5WKyo/s728-rw-e365/hacking.jpg,"
,
,
",https://thehackernews.com/2024/02/a-new-age-of-hacktivism.html,Hacktivism / Information Warfare,A New Age of Hacktivism 
Russian Government Software Backdoored to Deploy Konni RAT Malware,"Feb 22, 2024"," An installer for a tool likely used by the Russian Consular Department of the Ministry of Foreign Affairs (MID) has been backdoored to deliver a remote access trojan called  Konni RAT  (aka  UpDog ). The findings come from German cybersecurity company DCSO, which linked the activity as originating from the Democratic People's Republic of Korea (DPRK)-nexus actors targeting Russia. The Konni (aka Opal Sleet, Osmium, or  TA406 ) activity cluster has an established pattern of deploying Konni RAT against Russian entities, with the threat actor also linked to  attacks directed against MID  at least since October 2021. In November 2023, Fortinet FortiGuard Labs  revealed  the use of Russian-language Microsoft Word documents to deliver malware capable of harvesting sensitive information from compromised Windows hosts. DCSO said the packaging of Konni RAT within software installers is a technique  previously adopted  by the group in October 2023, when it was found to leverage a backd",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgPj49rhqqA-mxtmox1fybU0tENIeJuA_2g3BytqZBQjH8PEScWg5QxtfprIfKf7oQcv-YabbjzNAltHcZCbA0sLFmrXjUdRB9DIAhzOYFuNeoasslqkEQNKZ-OfevXS-UIIISE53qayWiM2qXMpUF1lPRepm3Cqyczrw62w9Kqa1HSkcP9MP-162wM8cus/s728-rw-e365/north-korean-hackers.jpg,"
,
,
",https://thehackernews.com/2024/02/russian-government-software-backdoored.html,Malware / Cyber Espionage,Russian Government Software Backdoored to Deploy Konni RAT Malware
How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities ,"Feb 15, 2024"," With many of the highly publicized 2023 cyber attacks revolving around one or more SaaS applications, SaaS has become a cause for genuine concern in many boardroom discussions. More so than ever, considering that GenAI applications are, in fact, SaaS applications. Wing Security (Wing), a SaaS security company, conducted an analysis of 493 SaaS-using companies in Q4 of 2023.  Their study reveals  how companies use SaaS today, and the wide variety of threats that result from that usage. This unique analysis provides rare and important insights into the breadth and depth of SaaS-related risks, but also provides practical tips to mitigate them and ensure SaaS can be widely used without compromising security posture.  The TL;DR Version Of SaaS Security 2023 brought some now infamous examples of malicious players leveraging or directly targeting SaaS, including the North Korean group UNC4899, 0ktapus ransomware group, and Russian Midnight Blizzard APT, which targeted well-known organizat",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhCb3lbR5kKaNE9_BRADHrZqnNzA8MYLNnIDfJ8esB94HKtdiQsqC0exNVk5hWYeLbeUYgQyjqJoIshnKImmBKXjjSU_QWjoQnFtll_ge1xVfpf-nAl_f15ERLDetjxzj__ejnde7ebtIh3E27BN3Xm5UTrexnvX5p7oL_dT8oq25Pl5jwRT1UqeQb4VO8/s728-rw-e365/wing.jpg,,https://thehackernews.com/2024/02/how-nation-state-actors-target-your.html,SaaS Security / Risk Management,How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities 
U.S. Offers $15 Million Bounty to Hunt Down LockBit Ransomware Leaders,"Feb 22, 2024"," The U.S. State Department has announced monetary rewards of up to $15 million for information that could lead to the identification of key leaders within the LockBit ransomware group and the arrest of any individual participating in the operation. ""Since January 2020, LockBit actors have executed over 2,000 attacks against victims in the United States, and around the world, causing costly disruptions to operations and the destruction or exfiltration of sensitive information,"" the State Department  said . ""More than $144 million in ransom payments have been made to recover from LockBit ransomware events."" The development comes as a sweeping law enforcement operation led by the U.K. National Crime Agency (NCA)  disrupted  LockBit, a Russia-linked ransomware gang that has been active for more than four years, wreaking havoc on business and critical infrastructure entities around the world. Ransomware-as-a-service (RaaS) operations like LockBit and others work by e",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi9B_XlCcneNO3rItPlLzMIQzGGW-t-EX8jCnxgj4wsSkos4hPxoK7A1yF5wK_jVmZb2D3P3u1Ih1wQ1gvyCmXQ-dJ8-N53ONQ6gBUnNy5LI9jg2vsfgCyYfGvzJ8K9Bo2ekIoPew4Pne_dHHPxqc8u_3BTUo_5cSp9MMpa-yh3An8IQ8wj0BrlKFATM9wz/s728-rw-e365/lockbit-2.png,"
,
,
",https://thehackernews.com/2024/02/us-offers-15-million-bounty-to-hunt.html,Ransomware / Cybercrime,U.S. Offers $15 Million Bounty to Hunt Down LockBit Ransomware Leaders
New Wi-Fi Vulnerabilities Expose Android and Linux Devices to Hackers,"Feb 21, 2024"," Cybersecurity researchers have identified two authentication bypass flaws in open-source Wi-Fi software found in Android, Linux, and ChromeOS devices that could trick users into joining a malicious clone of a legitimate network or allow an attacker to join a trusted network without a password. The vulnerabilities, tracked as CVE-2023-52160 and CVE-2023-52161, have been discovered following a security evaluation of  wpa_supplicant  and Intel's iNet Wireless Daemon ( IWD ), respectively. The flaws ""allow attackers to trick victims into connecting to malicious clones of trusted networks and intercept their traffic, and join otherwise secure networks without needing the password,"" Top10VPN  said  in a new research conducted in collaboration with Mathy Vanhoef, who has previously uncovered Wi-Fi attacks like  KRACK ,  DragonBlood , and  TunnelCrack . CVE-2023-52161, in particular, permits an adversary to gain unauthorized access to a protected Wi-Fi network, exposing exis",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi7BIu2uLsiBunud7S89gCawez77kGoFX_1Wu-KZef_iyGAYKi3ST-Ffb8bKAK9c19kIIzyScuXib9b4qE8pRE_LfufUPmTcq1a9wqIAZuf3nkudlkorPdSL_S9PaLbUjKv46-Qf3ifffmZuQs3t1Zu8CPj4MrZPNHRet8HguHhnFN9qWXH273MtW65qRri/s728-rw-e365/wifi-hacking.jpg,"
,
,
",https://thehackernews.com/2024/02/new-wi-fi-vulnerabilities-expose.html,Network Security / Vulnerability,New Wi-Fi Vulnerabilities Expose Android and Linux Devices to Hackers
Mustang Panda Targets Asia with Advanced PlugX Variant DOPLUGS,"Feb 21, 2024"," The China-linked threat actor known as Mustang Panda has targeted various Asian countries using a variant of the PlugX (aka Korplug) backdoor dubbed DOPLUGS. ""The piece of customized PlugX malware is dissimilar to the general type of the PlugX malware that contains a completed backdoor command module, and that the former is only used for downloading the latter,"" Trend Micro researchers Sunny Lu and Pierre Lee  said  in a new technical write-up. Targets of DOPLUGS have been primarily located in Taiwan, and Vietnam, and to a lesser extent in Hong Kong, India, Japan, Malaysia, Mongolia, and even China. PlugX is a staple tool of  Mustang Panda , which is also tracked as BASIN, Bronze President, Camaro Dragon, Earth Preta, HoneyMyte, RedDelta, Red Lich, Stately Taurus, TA416, and TEMP.Hex. It's known to be active since at least 2012, although it first came to light in 2017. The threat actor's tradecraft entails carrying out well-forged spear-phishing campaigns that a",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjpdwRoEj5MBI3Hv5VHDRdVqzIQdeVz1l3eDAvckNEY7VKhoNL0GgfCtaFBJQOqE0vXHzeD4bo_-rv990jTtU72nqi5MvLVPvOMLCPBbG0h1MQAnITHfBzAw5QV818CwfGBqGny9D_XcQaGWwYE7qsb984bl5MWqIBQ5RL74TwYhfVDaM_1mchJrIyoh8E2/s728-rw-e365/attack.jpg,"
,
,
",https://thehackernews.com/2024/02/mustang-panda-targets-asia-with.html,Malware / Cyber Espionage,Mustang Panda Targets Asia with Advanced PlugX Variant DOPLUGS
6 Ways to Simplify SaaS Identity Governance,"Feb 21, 2024"," With SaaS applications now making up the vast majority of technology used by employees in most organizations, tasks related to identity governance need to happen across a myriad of individual SaaS apps. This presents a huge challenge for centralized IT teams who are ultimately held responsible for managing and securing app access, but can't possibly become experts in the nuances of the native security settings and access controls for hundreds (or thousands) of apps. And, even if they could, the sheer volume of tasks would easily bury them. Modern IT teams need a way to orchestrate and govern SaaS identity governance by engaging the application owners in the business who are most familiar with how the tool is used, and who needs what type of access.  Nudge Security is a  SaaS security and governance solution  that can help you do just that, with automated workflows to save time and make the process manageable at scale. Read on to learn how it works. 1 . Discover all SaaS apps used b",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhPrU7kQyj3Noo_e-GI9EPyq99JFzESySs_fM6EAeA7TBg_wAQ-wPGRWgQWjd-jEnhRe5IUyNjKemzKWQDx4EAvPuk_VTsgN3wVqT1EJ3k95td23NUWnw54y_h9Fy6X2xBP6oGQ0xfP2mAY0w6vdsQsFn5rjeJhigAAhyd4x9x9sCVTpCxGxQTIq-23Vt4/s1200/apps.jpg,"
,
,
",https://thehackernews.com/2024/02/6-ways-to-simplify-saas-identity.html,SaaS Security / Identity Management,6 Ways to Simplify SaaS Identity Governance
New 'VietCredCare' Stealer Targeting Facebook Advertisers in Vietnam,"Feb 21, 2024"," Facebook advertisers in Vietnam are the target of a previously unknown information stealer dubbed  VietCredCare  at least since August 2022. The malware is ""notable for its ability to automatically filter out Facebook session cookies and credentials stolen from compromised devices, and assess whether these accounts manage business profiles and if they maintain a positive Meta ad credit balance,"" Singapore-headquartered Group-IB  said  in a new report shared with The Hacker News. The end goal of the large-scale malware distribution scheme is to facilitate the takeover of corporate Facebook accounts by targeting Vietnamese individuals who manage the Facebook profiles of prominent businesses and organizations. Facebook accounts that have been successfully seized are then used by the threat actors behind the operation to post political content or to propagate phishing and affiliate scams for financial gain. VietCredCare is offered to other aspiring cybercriminals under the stealer-as",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjU-h3tA0nOel4bkV9qIxLZVXmLKCwIoOq-Phz0CNOtmC-z0HqiRVdwwWVODeG470YqCHuWNQ1Y7o7dx97VPtigukSN-Q9PCbmczI5fxeNU2fBbKp3R9PQGgnTFm4ekNTU6rH5gurO0zIY69HmzUuBhR_cgAyTEvWHgaYrmWHNDE9CLsaBXjpUjILXcaBWG/s728-rw-e365/gib-main.jpg,"
,
,
",https://thehackernews.com/2024/02/new-vietcredcare-stealer-targeting.html,Malware / Cyber Threat,New 'VietCredCare' Stealer Targeting Facebook Advertisers in Vietnam
Cybersecurity for Healthcare—Diagnosing the Threat Landscape and Prescribing Solutions for Recovery,"Feb 21, 2024"," On Thanksgiving Day 2023, while many Americans were celebrating, hospitals across the U.S. were doing quite the opposite. Systems were failing. Ambulances were diverted. Care was impaired. Hospitals in three states were  hit by a ransomware attack , and in that moment, the real-world repercussions came to light—it wasn't just computer networks that were brought to a halt, but actual patient care itself.  Cybercriminals are more brazen than ever, targeting smaller healthcare organizations for big payouts. Sure, it would be nice to believe thieves once lived by a code of conduct, but if one ever existed, it's been torn to shreds and tossed into the wind. Sophisticated hacker groups are now more than happy to launch cyberattacks on medical clinics, nursing homes, and other health service providers. Small- to mid-sized healthcare organizations have, unfortunately, become vulnerable targets from which cybercriminals can easily steal sensitive data, extort heavy ransoms, and, worst of all,",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiBlEFPEVNM4jnXssAF3BxzBlQMYFa2EslLaGrXUEBK12LE7HKfYB0xmkkSXICa0bCg9L4szoY_3aoTV7pOF4XpDng8AiHZaTx0RH3HmKKG_xfT6wqvQ7zOS_SXje985ewnxMb_nL1mkzPaktFv1fkyb85xe6a0tqJKodQZG0s7v1pS6W8cxgWpiRiZthU/s728-rw-e365/header.png,"
,
,
",https://thehackernews.com/2024/02/cybersecurity-for-healthcarediagnosing.html,Endpoint Security / Healthcare,Cybersecurity for Healthcare—Diagnosing the Threat Landscape and Prescribing Solutions for Recovery
"Signal Introduces Usernames, Allowing Users to Keep Their Phone Numbers Private","Feb 21, 2024"," End-to-end encrypted (E2EE) messaging app Signal said it's piloting a new feature that allows users to create unique usernames (not to be confused with profile names) and keep the phone numbers away from prying eyes. ""If you use Signal, your phone number will no longer be visible to everyone you chat with by default,"" Signal's Randall Sarafa  said . ""People who have your number saved in their phone's contacts will still see your phone number since they already know it."" Setting a new username requires account holders to provide two or more numbers at the end of it (e.g., axolotl.99) in an effort to keep them ""egalitarian and minimize spoofing."" Usernames can be changed any number of times, but it's worth noting that they are not logins or handles. Put differently, a username is an anonymous way to initiate conversations on the chat platform without having to share phone numbers. The feature is opt-in, although Signal said it's also taking steps to hide by default users' phone numb",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjTef13t7V2gVnFNsHMgyQEO92YSYmZN4sudh5idghwYeOBkhkF7W4if8mXy31_f44oh418iG5H43UyPvkJTH6fXU3WPfFVXmzWci6a19xmT987TiTpDpONlCKH5UJSGKi0pKf2Hk6KPScO9s-5sXVvQlVNWpND1ovAhgWok5eqrGd8lsCciFjknT36A1jv/s728-rw-e365/signal.jpg,"
,
,
",https://thehackernews.com/2024/02/signal-introduces-usernames-allowing.html,Secure Communication / Anonymity,"Signal Introduces Usernames, Allowing Users to Keep Their Phone Numbers Private"
